,word1,index,probability,cumsum
84,Byla,34,0.0013570145679505088,0.051486729195769285
85,Byli,4,0.00015964877270005986,0.05164637796846935
86,Bylo,63,0.0025144681700259427,0.05416084613849529
87,Byrokratům,1,3.9912193175014965e-05,0.054200758331670304
88,Bývalý,1,3.9912193175014965e-05,0.05424067052484532
89,Běda,2,7.982438635002993e-05,0.054320494911195345
90,Běh,7,0.00027938535222510476,0.05459988026342045
91,Běhat,1,3.9912193175014965e-05,0.05463979245659546
92,Během,34,0.0013570145679505088,0.05599680702454597
93,Běhání,1,3.9912193175014965e-05,0.056036719217720986
94,Běžně,1,3.9912193175014965e-05,0.056076631410896
95,Běžte,3,0.0001197365795250449,0.05619636799042105
96,Bůhví,1,3.9912193175014965e-05,0.05623628018359606
97,Celkem,5,0.00019956096587507485,0.05643584114947114
98,Celkovou,1,3.9912193175014965e-05,0.05647575334264615
99,Celou,1,3.9912193175014965e-05,0.056515665535821165
100,Celá,1,3.9912193175014965e-05,0.05655557772899618
101,Celé,1,3.9912193175014965e-05,0.05659548992217119
102,Celému,1,3.9912193175014965e-05,0.056635402115346206
103,Celý,9,0.0003592097385751347,0.056994611853921344
104,Cena,1,3.9912193175014965e-05,0.05703452404709636
105,Cennou,2,7.982438635002993e-05,0.057114348433446385
106,Cenné,2,7.982438635002993e-05,0.05719417281979641
107,Cenný,1,3.9912193175014965e-05,0.05723408501297143
108,Cesta,5,0.00019956096587507485,0.0574336459788465
109,Cestou,12,0.0004789463181001796,0.05791259229694668
110,Cestu,1,3.9912193175014965e-05,0.057952504490121695
111,Chaos,2,7.982438635002993e-05,0.05803232887647172
112,Charakter,1,3.9912193175014965e-05,0.058072241069646736
113,Chce,40,0.0015964877270005988,0.059668728796647336
114,Chcete,78,0.0031131510676511674,0.0627818798642985
115,Chlad,1,3.9912193175014965e-05,0.06282179205747353
116,Chladným,1,3.9912193175014965e-05,0.06286170425064855
117,Chladně,5,0.00019956096587507485,0.06306126521652362
118,Chlubit,1,3.9912193175014965e-05,0.06310117740969864
119,Chmurné,2,7.982438635002993e-05,0.06318100179604867
120,Chmury,2,7.982438635002993e-05,0.0632608261823987
121,Chopí,1,3.9912193175014965e-05,0.06330073837557372
122,Chopíte,3,0.0001197365795250449,0.06342047495509877
123,Chovejte,6,0.0002394731590500898,0.06365994811414886
124,Chování,1,3.9912193175014965e-05,0.06369986030732389
125,Chováte,1,3.9912193175014965e-05,0.0637397725004989
126,Choďte,2,7.982438635002993e-05,0.06381959688684893
127,Chraňte,2,7.982438635002993e-05,0.06389942127319896
128,Chtít,5,0.00019956096587507485,0.06409898223907404
129,Chtějí,5,0.00019956096587507485,0.06429854320494911
130,Chtěli,2,7.982438635002993e-05,0.06437836759129914
131,Chtělo,1,3.9912193175014965e-05,0.06441827978447416
132,Chuť,13,0.0005188585112751946,0.06493713829574936
133,Chvalozpěvy,1,3.9912193175014965e-05,0.06497705048892438
134,Chvilka,2,7.982438635002993e-05,0.06505687487527441
135,Chvilková,1,3.9912193175014965e-05,0.06509678706844943
136,Chvála,3,0.0001197365795250449,0.06521652364797448
137,Chvályhodné,2,7.982438635002993e-05,0.0652963480343245
138,Chvíle,6,0.0002394731590500898,0.0655358211933746
